iter	Passed	Remaining
0	41	24915
1	82	24737
2	128	25555
3	172	25760
4	199	23745
5	236	23409
6	257	21820
7	294	21768
8	333	21867
9	361	21317
10	400	21427
11	438	21490
12	481	21725
13	523	21925
14	551	21496
15	586	21393
16	624	21417
17	663	21467
18	705	21572
19	744	21597
20	771	21262
21	812	21344
22	851	21352
23	884	21231
24	923	21234
25	951	20996
26	969	20566
27	1007	20580
28	1046	20613
29	1085	20622
30	1127	20700
31	1170	20778
32	1210	20798
33	1247	20768
34	1281	20690
35	1324	20752
36	1359	20689
37	1396	20658
38	1437	20673
39	1473	20630
40	1514	20652
41	1556	20684
42	1592	20624
43	1626	20547
44	1665	20545
45	1706	20546
46	1743	20518
47	1782	20495
48	1822	20491
49	1863	20495
50	1900	20462
51	1939	20436
52	1978	20417
53	2017	20402
54	2097	20782
55	2190	21275
56	2229	21239
57	2269	21207
58	2308	21171
59	2349	21144
60	2389	21117
61	2426	21053
62	2464	21009
63	2503	20967
64	2543	20932
65	2580	20881
66	2621	20850
67	2662	20827
68	2701	20792
69	2740	20752
70	2775	20676
71	2814	20641
72	2856	20618
73	2893	20569
74	2937	20560
75	2975	20515
76	3015	20480
77	3054	20440
78	3089	20372
79	3128	20334
80	3166	20288
81	3206	20257
82	3245	20217
83	3283	20169
84	3324	20142
85	3366	20119
86	3404	20076
87	3444	20039
88	3486	20017
89	3526	19983
90	3568	19959
91	3603	19895
92	3641	19851
93	3687	19847
94	3724	19797
95	3765	19767
96	3805	19731
97	3844	19694
98	3884	19659
99	3922	19610
100	3961	19570
101	4000	19531
102	4038	19488
103	4077	19445
104	4115	19402
105	4157	19377
106	4198	19342
107	4233	19287
108	4270	19236
109	4309	19196
110	4349	19161
111	4386	19114
112	4427	19079
113	4466	19041
114	4507	19009
115	4546	18970
116	4587	18938
117	4624	18890
118	4658	18827
119	4697	18790
120	4736	18751
121	4775	18711
122	4812	18664
123	4853	18629
124	4892	18592
125	4930	18547
126	4969	18507
127	5011	18478
128	5049	18436
129	5088	18398
130	5126	18353
131	5167	18321
132	5205	18278
133	5242	18231
134	5282	18194
135	5319	18147
136	5358	18109
137	5403	18089
138	5443	18054
139	5483	18017
140	5525	17987
141	5564	17946
142	5592	17871
143	5631	17833
144	5674	17805
145	5713	17767
146	5752	17727
147	5790	17684
148	5831	17651
149	5870	17611
150	5908	17568
151	5946	17526
152	5984	17484
153	6024	17446
154	6061	17402
155	6099	17360
156	6139	17323
157	6178	17283
158	6216	17243
159	6254	17199
160	6297	17171
161	6338	17138
162	6377	17097
163	6416	17059
164	6457	17024
165	6501	16997
166	6540	16958
167	6581	16923
168	6618	16879
169	6659	16844
170	6697	16802
171	6735	16760
172	6775	16724
173	6814	16684
174	6854	16646
175	6892	16604
176	6930	16562
177	6975	16537
178	7019	16509
179	7060	16475
180	7100	16436
181	7138	16395
182	7179	16360
183	7219	16322
184	7257	16279
185	7294	16236
186	7335	16200
187	7372	16155
188	7412	16118
189	7453	16084
190	7494	16048
191	7533	16008
192	7570	15965
193	7609	15925
194	7649	15887
195	7691	15853
196	7727	15808
197	7766	15768
198	7802	15723
199	7846	15693
200	7884	15650
201	7924	15613
202	7963	15574
203	8009	15548
204	8050	15512
205	8089	15471
206	8127	15430
207	8167	15392
208	8205	15351
209	8245	15313
210	8284	15272
211	8323	15233
212	8360	15190
213	8396	15145
214	8437	15109
215	8477	15071
216	8517	15032
217	8554	14990
218	8593	14949
219	8631	14909
220	8674	14876
221	8713	14837
222	8752	14796
223	8792	14759
224	8841	14736
225	8888	14709
226	8931	14675
227	8970	14636
228	9012	14601
229	9051	14560
230	9091	14523
231	9130	14483
232	9170	14443
233	9208	14403
234	9247	14363
235	9285	14321
236	9325	14283
237	9364	14243
238	9403	14203
239	9444	14167
240	9490	14137
241	9528	14095
242	9568	14057
243	9607	14016
244	9646	13978
245	9686	13939
246	9725	13898
247	9764	13858
248	9803	13819
249	9842	13779
250	9881	13739
251	9909	13685
252	9948	13644
253	9989	13607
254	10026	13565
255	10064	13524
256	10103	13484
257	10141	13443
258	10179	13402
259	10217	13361
260	10255	13320
261	10294	13280
262	10336	13244
263	10373	13202
264	10415	13166
265	10454	13126
266	10499	13094
267	10537	13054
268	10576	13014
269	10613	12972
270	10654	12934
271	10693	12894
272	10733	12856
273	10770	12814
274	10812	12778
275	10853	12740
276	10894	12703
277	10938	12669
278	10980	12633
279	11019	12594
280	11062	12558
281	11099	12516
282	11141	12479
283	11181	12441
284	11219	12400
285	11260	12362
286	11303	12327
287	11341	12286
288	11381	12247
289	11422	12210
290	11463	12172
291	11501	12131
292	11540	12092
293	11584	12057
294	11623	12017
295	11664	11980
296	11708	11944
297	11748	11905
298	11788	11867
299	11828	11828
300	11865	11786
301	11904	11746
302	11942	11706
303	11984	11669
304	12027	11632
305	12065	11591
306	12102	11550
307	12142	11511
308	12181	11472
309	12219	11431
310	12257	11390
311	12296	11350
312	12335	11311
313	12374	11271
314	12417	11234
315	12457	11195
316	12497	11157
317	12536	11117
318	12574	11077
319	12612	11035
320	12651	10995
321	12688	10955
322	12725	10913
323	12764	10873
324	12806	10836
325	12844	10795
326	12885	10757
327	12923	10716
328	12962	10677
329	13003	10638
330	13040	10597
331	13078	10557
332	13116	10517
333	13156	10477
334	13194	10437
335	13233	10397
336	13269	10355
337	13311	10318
338	13349	10277
339	13389	10238
340	13429	10199
341	13469	10160
342	13508	10121
343	13546	10081
344	13584	10040
345	13622	10000
346	13665	9963
347	13704	9923
348	13742	9883
349	13783	9845
350	13824	9807
351	13862	9767
352	13901	9726
353	13940	9687
354	13979	9647
355	14017	9607
356	14058	9569
357	14095	9528
358	14135	9489
359	14174	9449
360	14211	9408
361	14249	9368
362	14286	9327
363	14325	9287
364	14364	9248
365	14404	9209
366	14448	9172
367	14490	9135
368	14526	9093
369	14565	9054
370	14604	9014
371	14643	8975
372	14685	8937
373	14722	8896
374	14760	8856
375	14800	8817
376	14841	8778
377	14880	8739
378	14919	8699
379	14960	8661
380	15000	8622
381	15039	8582
382	15077	8542
383	15117	8503
384	15158	8465
